"model_name","source_file","status_field_refs","tenant_field_refs","confidence"
"report-instances","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\reportInstanceModel.js","2","0","Confirmed from code"
"report-templates","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\reportTemplateModel.js","0","0","Confirmed from code"
"request_id_counters","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\requestIdCounterModel.js","0","0","Confirmed from code"
"ScheduleEventLog","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\scheduleEventLogModel.js","0","1","Confirmed from code"
"ScheduleSlot","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\scheduleSlotModel.js","2","1","Confirmed from code"
"sequence_counters","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\sequenceCounterModel.js","0","0","Confirmed from code"
"status-definitions","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\statusDefinitionModel.js","0","3","Confirmed from code"
"status-history","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\statusHistoryModel.js","2","3","Confirmed from code"
"status-trackers","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\statusTrackerModel.js","2","3","Confirmed from code"
"subscriptions","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\subscriptionModel.js","2","3","Confirmed from code"
"supplierMasterProductModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\supplierMasterProductModel.js","0","0","Confirmed from code"
"SupplierNetworkLink","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\SupplierNetworkLink.js","0","0","Confirmed from code"
"supplierProfileModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\supplierProfileModel.js","1","2","Confirmed from code"
"SupplierPublicSignal","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\SupplierPublicSignal.js","0","0","Confirmed from code"
"SupplierRiskEvent","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\SupplierRiskEvent.js","0","0","Confirmed from code"
"SupplierRiskMetrics","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\SupplierRiskMetrics.js","0","0","Confirmed from code"
"SupplierRiskSnapshot","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\SupplierRiskSnapshot.js","0","0","Confirmed from code"
"supplier-sites","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\supplierSiteDataModel.js","0","3","Confirmed from code"
"supplierUserProfileModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\supplierUserProfileModel.js","0","0","Confirmed from code"
"SystemSetting","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\systemSettingModel.js","0","0","Confirmed from code"
"table_variants","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\tableVariantModel.js","0","4","Confirmed from code"
"templateQuestionsModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\templateQuestionsModel.js","0","0","Confirmed from code"
"templates","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\templateModel.js","1","2","Confirmed from code"
"Tenant","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\tenantModel.js","1","3","Confirmed from code"
"tenant-module-configs","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\tenantModuleConfigModel.js","0","8","Confirmed from code"
"userNotificationPreferenceModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\userNotificationPreferenceModel.js","0","3","Confirmed from code"
"users","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\userModel.js","1","5","Confirmed from code"
"workflow_milestone_definitions","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\workflowMilestoneDefinitionModel.js","0","3","Confirmed from code"
"workflow_milestone_instances","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\workflowMilestoneInstanceModel.js","2","4","Confirmed from code"
"workflow_sla_configs","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\workflowSlaConfigModel.js","0","4","Confirmed from code"
